,Baseline,IC
Accuracy,0.9394285714285714,0.9622857142857143
Balanced Accuracy,0.9394285714285715,0.9622857142857143
Macro Precision,0.9498493815717124,0.9645295152179977
Macro Recall,0.9394285714285715,0.9622857142857143
Macro F1,0.9406253657848913,0.961898606888378
Recall_BENIGN,0.982,0.838
Recall_Bot,0.834,0.996
Recall_BruteForce,0.974,0.968
Recall_DDoS,1.0,1.0
Recall_DoS,0.99,0.972
Recall_PortScan,0.862,0.968
Recall_WebAttack,0.934,0.994
