,Baseline,IC
Accuracy,0.9165714285714286,0.9665714285714285
Balanced Accuracy,0.9165714285714286,0.9665714285714285
Macro Precision,0.9389646847761614,0.968791425654402
Macro Recall,0.9165714285714286,0.9665714285714285
Macro F1,0.9200739058333031,0.9667667299600186
Recall_BENIGN,0.968,0.902
Recall_Bot,0.824,0.996
Recall_BruteForce,0.964,0.968
Recall_DDoS,1.0,1.0
Recall_DoS,0.988,0.99
Recall_PortScan,0.778,0.964
Recall_WebAttack,0.894,0.946
