epoch,train_loss,val_loss,val_acc
1,0.07963198700726115,2.5734144747257233,0.5185714285714286
2,0.034455358454308166,2.0318133272230625,0.5557142857142857
3,0.030728771789522075,1.6800767853856087,0.5608571428571428
4,0.02910829028680153,1.6068373396992683,0.6177142857142857
5,0.028118647179174776,1.538129672408104,0.6077142857142858
6,0.026961199102602838,1.492570385336876,0.6454285714285715
7,0.026247861068575833,1.6744972541928291,0.6042857142857143
8,0.02553219270310686,1.5200857631862164,0.6462857142857142
9,0.025100856927748712,1.5222564786672592,0.6462857142857142
10,0.024044384612258878,1.4038686454296112,0.6691428571428572
11,0.023114012973040356,1.304377719759941,0.6594285714285715
12,0.022578444096911784,1.6506762243807316,0.6422857142857142
13,0.022168394138525893,1.4607269316911697,0.6602857142857143
14,0.021727241063361994,1.4784266017377377,0.6448571428571429
15,0.02155710727883727,1.3706379383802414,0.6688571428571428
16,0.02158105251076867,1.43881443887949,0.6588571428571428
