lambda,accuracy
1.08,0.7785714285714286
1.09,0.7785714285714286
1.1,0.7785714285714286
1.11,0.775
1.12,0.775
1.13,0.7714285714285715
1.14,0.7714285714285715
1.15,0.775
1.16,0.7714285714285715
1.17,0.7714285714285715
1.18,0.7714285714285715
1.19,0.7678571428571429
1.2,0.7678571428571429
1.21,0.7678571428571429
1.22,0.7678571428571429
1.23,0.7642857142857142
1.24,0.7607142857142857
1.25,0.7607142857142857
1.26,0.7607142857142857
1.27,0.7571428571428571
1.28,0.7571428571428571
1.29,0.7571428571428571
1.3,0.7571428571428571
1.31,0.7535714285714286
1.32,0.7535714285714286
1.33,0.7571428571428571
1.34,0.7571428571428571
1.35,0.75
1.36,0.7464285714285714
1.37,0.7464285714285714
1.38,0.7464285714285714
1.39,0.7464285714285714
1.4,0.7428571428571429
1.41,0.7392857142857143
1.42,0.7357142857142858
1.43,0.7357142857142858
1.44,0.7357142857142858
1.45,0.7321428571428571
1.46,0.7321428571428571
1.47,0.7321428571428571
1.48,0.7357142857142858
1.49,0.7321428571428571
1.5,0.7321428571428571
1.51,0.7321428571428571
1.52,0.7357142857142858
1.53,0.7357142857142858
1.54,0.7357142857142858
1.55,0.7357142857142858
1.56,0.7357142857142858
1.57,0.7357142857142858
1.58,0.7357142857142858
1.59,0.7392857142857143
1.6,0.7392857142857143
1.61,0.7392857142857143
1.62,0.7321428571428571
1.63,0.7357142857142858
1.64,0.7357142857142858
1.65,0.7357142857142858
1.66,0.7357142857142858
1.67,0.7321428571428571
1.68,0.7321428571428571
1.69,0.7357142857142858
1.7,0.7357142857142858
1.71,0.7321428571428571
1.72,0.7285714285714285
1.73,0.7285714285714285
1.74,0.7285714285714285
1.75,0.725
1.76,0.725
1.77,0.7214285714285714
1.78,0.7178571428571429
1.79,0.7178571428571429
1.8,0.7178571428571429
1.81,0.7142857142857143
1.82,0.7107142857142857
1.83,0.7
1.84,0.7
1.85,0.7
1.86,0.7
1.87,0.6928571428571428
1.88,0.6928571428571428
1.89,0.6892857142857143
1.9,0.6892857142857143
1.91,0.6892857142857143
1.92,0.6892857142857143
1.93,0.6892857142857143
1.94,0.6892857142857143
1.95,0.6857142857142857
1.96,0.6857142857142857
1.97,0.6857142857142857
1.98,0.6821428571428572
1.99,0.6785714285714286
2.0,0.6785714285714286
2.01,0.6785714285714286
2.02,0.6785714285714286
2.03,0.6785714285714286
2.04,0.6785714285714286
2.05,0.675
2.06,0.6678571428571428
2.07,0.6678571428571428
2.08,0.6642857142857143
2.09,0.6642857142857143
2.1,0.6642857142857143
2.11,0.6678571428571428
2.12,0.6678571428571428
2.13,0.6678571428571428
2.14,0.6607142857142857
2.15,0.6571428571428571
2.16,0.6607142857142857
2.17,0.6607142857142857
2.18,0.6571428571428571
2.19,0.6535714285714286
2.2,0.6535714285714286
2.21,0.65
2.22,0.6464285714285715
2.23,0.6464285714285715
2.24,0.6464285714285715
2.25,0.6464285714285715
2.26,0.6464285714285715
2.27,0.6464285714285715
2.28,0.6392857142857142
2.29,0.6392857142857142
2.3,0.6392857142857142
2.31,0.6357142857142857
2.32,0.6357142857142857
2.33,0.6357142857142857
2.34,0.6321428571428571
2.35,0.6321428571428571
2.36,0.6321428571428571
2.37,0.6321428571428571
2.38,0.6285714285714286
2.39,0.6214285714285714
2.4,0.6214285714285714
2.41,0.6178571428571429
2.42,0.6178571428571429
2.43,0.6178571428571429
2.44,0.6178571428571429
2.45,0.6178571428571429
2.46,0.6142857142857143
2.47,0.6142857142857143
2.48,0.6107142857142858
2.49,0.6107142857142858
2.5,0.6107142857142858
2.51,0.6071428571428571
2.52,0.6035714285714285
2.53,0.6
2.54,0.6
2.55,0.6
2.56,0.6
2.57,0.5964285714285714
2.58,0.5964285714285714
2.59,0.5928571428571429
2.6,0.5928571428571429
2.61,0.5928571428571429
2.62,0.5928571428571429
2.63,0.5857142857142857
2.64,0.5857142857142857
2.65,0.5821428571428572
2.66,0.5785714285714286
2.67,0.5785714285714286
2.68,0.575
2.69,0.575
2.7,0.575
2.71,0.575
2.72,0.5714285714285714
2.73,0.5642857142857143
2.74,0.5607142857142857
2.75,0.5607142857142857
2.76,0.5607142857142857
2.77,0.5607142857142857
2.78,0.5571428571428572
2.79,0.5571428571428572
2.8,0.5535714285714286
2.81,0.5535714285714286
2.82,0.5535714285714286
2.83,0.5535714285714286
2.84,0.5535714285714286
2.85,0.5571428571428572
2.86,0.5535714285714286
2.87,0.5535714285714286
2.88,0.5535714285714286
2.89,0.5464285714285714
2.9,0.5464285714285714
2.91,0.5464285714285714
2.92,0.5464285714285714
2.93,0.5464285714285714
2.94,0.5392857142857143
2.95,0.5392857142857143
2.96,0.5357142857142857
2.97,0.5357142857142857
2.98,0.5357142857142857
2.99,0.5357142857142857
3.0,0.5357142857142857
