,Baseline,IC
Accuracy,0.868,0.9065714285714286
Balanced Accuracy,0.8680000000000001,0.9065714285714286
Macro Precision,0.8846120620360126,0.9205688082581923
Macro Recall,0.8680000000000001,0.9065714285714286
Macro F1,0.8655806189319774,0.9060717516234825
Recall_BENIGN,0.962,0.672
Recall_Bot,0.512,0.986
Recall_BruteForce,0.972,0.968
Recall_DDoS,1.0,0.986
Recall_DoS,0.918,0.908
Recall_PortScan,0.82,0.88
Recall_WebAttack,0.892,0.946
