lambda,accuracy
0.01,0.8602857142857143
0.0,0.8602857142857143
2.0,0.8942857142857142
0.0,0.8602857142857143
2.05,0.8928571428571429
0.0,0.8602857142857143
2.0999999999999996,0.89
0.0,0.8602857142857143
2.1499999999999995,0.8865714285714286
0.0,0.8602857142857143
2.1999999999999993,0.8837142857142857
0.0,0.8602857142857143
2.249999999999999,0.8808571428571429
0.0,0.8602857142857143
2.299999999999999,0.8782857142857143
0.0,0.8602857142857143
2.3499999999999988,0.8751428571428571
0.0,0.8602857142857143
2.3999999999999986,0.8708571428571429
0.0,0.8602857142857143
2.4499999999999984,0.8665714285714285
0.0,0.8602857142857143
2.4999999999999982,0.8585714285714285
0.0,0.8602857142857143
1.25,0.9114285714285715
1.26,0.9117142857142857
1.24,0.912
1.8800000000000001,0.8988571428571429
1.8900000000000001,0.8988571428571429
1.87,0.8988571428571429
2.19,0.8842857142857142
2.1999999999999997,0.8837142857142857
2.18,0.8845714285714286
2.0300000000000002,0.894
2.04,0.8931428571428571
2.0200000000000005,0.8942857142857142
1.95,0.896
1.96,0.8957142857142857
1.94,0.896
1.99,0.8942857142857142
2.0,0.8942857142857142
1.98,0.8945714285714286
2.0100000000000002,0.8942857142857142
2.02,0.8942857142857142
2.0000000000000004,0.8942857142857142
2.02,0.8942857142857142
