,Baseline,IC
Accuracy,0.9262857142857143,0.9454285714285714
Balanced Accuracy,0.9262857142857143,0.9454285714285712
Macro Precision,0.9386321184375089,0.9474580638409572
Macro Recall,0.9262857142857143,0.9454285714285712
Macro F1,0.9281333918205498,0.9452752300313259
Recall_BENIGN,0.96,0.846
Recall_Bot,0.834,0.962
Recall_BruteForce,0.968,0.97
Recall_DDoS,1.0,1.0
Recall_DoS,0.986,0.98
Recall_PortScan,0.84,0.89
Recall_WebAttack,0.896,0.97
