,Baseline,IC
Accuracy,0.9802857142857143,0.9868571428571429
Balanced Accuracy,0.9802857142857143,0.9868571428571429
Macro Precision,0.9818037641529297,0.9871184784703184
Macro Recall,0.9802857142857143,0.9868571428571429
Macro F1,0.9804061547524366,0.986791921674423
Recall_BENIGN,0.996,0.936
Recall_Bot,0.918,0.996
Recall_BruteForce,0.998,1.0
Recall_DDoS,1.0,1.0
Recall_DoS,1.0,0.988
Recall_PortScan,0.968,0.99
Recall_WebAttack,0.982,0.998
