lambda,accuracy
0.01,0.9705714285714285
0.0,0.97
2.0,0.9774285714285714
0.0,0.97
2.05,0.9768571428571429
0.0,0.97
2.0999999999999996,0.9768571428571429
0.0,0.97
2.1499999999999995,0.9765714285714285
0.0,0.97
2.1999999999999993,0.976
0.0,0.97
2.249999999999999,0.976
0.0,0.97
2.299999999999999,0.976
0.0,0.97
2.3499999999999988,0.9757142857142858
0.0,0.97
2.3999999999999986,0.9757142857142858
0.0,0.97
2.4499999999999984,0.9754285714285714
0.0,0.97
2.4999999999999982,0.9742857142857143
0.0,0.97
2.549999999999998,0.9742857142857143
0.0,0.97
2.599999999999998,0.9742857142857143
0.0,0.97
2.6499999999999977,0.974
0.0,0.97
2.6999999999999975,0.974
0.0,0.97
2.7499999999999973,0.9737142857142858
0.0,0.97
2.799999999999997,0.9734285714285714
0.0,0.97
2.849999999999997,0.9734285714285714
0.0,0.97
2.899999999999997,0.9734285714285714
0.0,0.97
2.9499999999999966,0.9731428571428572
0.0,0.97
2.9999999999999964,0.9731428571428572
0.0,0.97
3.0499999999999963,0.9731428571428572
0.0,0.97
3.099999999999996,0.9731428571428572
0.0,0.97
3.149999999999996,0.9731428571428572
0.0,0.97
3.1999999999999957,0.9731428571428572
0.0,0.97
3.2499999999999956,0.9731428571428572
0.0,0.97
3.2999999999999954,0.9731428571428572
0.0,0.97
3.349999999999995,0.9731428571428572
0.0,0.97
3.399999999999995,0.9731428571428572
0.0,0.97
3.449999999999995,0.9731428571428572
0.0,0.97
3.4999999999999947,0.9731428571428572
0.0,0.97
3.5499999999999945,0.9731428571428572
0.0,0.97
3.5999999999999943,0.9731428571428572
0.0,0.97
3.649999999999994,0.9731428571428572
0.0,0.97
3.699999999999994,0.9731428571428572
0.0,0.97
3.749999999999994,0.9731428571428572
0.0,0.97
3.7999999999999936,0.9731428571428572
0.0,0.97
3.8499999999999934,0.9731428571428572
0.0,0.97
3.8999999999999932,0.9731428571428572
0.0,0.97
3.949999999999993,0.9731428571428572
0.0,0.97
3.999999999999993,0.9731428571428572
0.0,0.97
4.049999999999993,0.9731428571428572
0.0,0.97
4.0999999999999925,0.9731428571428572
0.0,0.97
4.149999999999992,0.9731428571428572
0.0,0.97
4.199999999999992,0.9731428571428572
0.0,0.97
4.249999999999992,0.9731428571428572
0.0,0.97
4.299999999999992,0.9731428571428572
0.0,0.97
4.349999999999992,0.9731428571428572
0.0,0.97
4.3999999999999915,0.9731428571428572
0.0,0.97
4.449999999999991,0.9731428571428572
0.0,0.97
4.499999999999991,0.9731428571428572
0.0,0.97
4.549999999999991,0.9731428571428572
0.0,0.97
4.599999999999991,0.9728571428571429
0.0,0.97
4.649999999999991,0.9728571428571429
0.0,0.97
4.69999999999999,0.9728571428571429
0.0,0.97
4.74999999999999,0.9728571428571429
0.0,0.97
4.79999999999999,0.9728571428571429
0.0,0.97
4.84999999999999,0.9728571428571429
0.0,0.97
4.89999999999999,0.9728571428571429
0.0,0.97
4.9499999999999895,0.9728571428571429
0.0,0.97
4.999999999999989,0.9728571428571429
0.0,0.97
5.049999999999989,0.9722857142857143
0.0,0.97
5.099999999999989,0.9722857142857143
0.0,0.97
5.149999999999989,0.9722857142857143
0.0,0.97
5.199999999999989,0.9722857142857143
0.0,0.97
5.2499999999999885,0.9722857142857143
0.0,0.97
5.299999999999988,0.9722857142857143
0.0,0.97
5.349999999999988,0.9722857142857143
0.0,0.97
5.399999999999988,0.9722857142857143
0.0,0.97
5.449999999999988,0.9722857142857143
0.0,0.97
5.499999999999988,0.9722857142857143
0.0,0.97
5.549999999999987,0.9722857142857143
0.0,0.97
5.599999999999987,0.9722857142857143
0.0,0.97
5.649999999999987,0.9717142857142858
0.0,0.97
5.699999999999987,0.9717142857142858
0.0,0.97
5.749999999999987,0.9717142857142858
0.0,0.97
5.7999999999999865,0.9717142857142858
0.0,0.97
5.849999999999986,0.9717142857142858
0.0,0.97
5.899999999999986,0.9717142857142858
0.0,0.97
5.949999999999986,0.9717142857142858
0.0,0.97
5.999999999999986,0.9717142857142858
0.0,0.97
6.049999999999986,0.9717142857142858
0.0,0.97
6.099999999999985,0.9717142857142858
0.0,0.97
6.149999999999985,0.9717142857142858
0.0,0.97
6.199999999999985,0.9717142857142858
0.0,0.97
6.249999999999985,0.9717142857142858
0.0,0.97
6.299999999999985,0.9717142857142858
0.0,0.97
6.3499999999999845,0.9717142857142858
0.0,0.97
6.399999999999984,0.9717142857142858
0.0,0.97
6.449999999999984,0.9717142857142858
0.0,0.97
6.499999999999984,0.9717142857142858
0.0,0.97
6.549999999999984,0.9717142857142858
0.0,0.97
6.599999999999984,0.9717142857142858
0.0,0.97
6.6499999999999835,0.9688571428571429
0.0,0.97
3.3200000000000003,0.9731428571428572
3.33,0.9731428571428572
3.3100000000000005,0.9731428571428572
4.99,0.9728571428571429
5.0,0.9728571428571429
4.98,0.9728571428571429
5.82,0.9717142857142858
5.83,0.9717142857142858
5.8100000000000005,0.9717142857142858
6.24,0.9717142857142858
6.25,0.9717142857142858
6.23,0.9717142857142858
6.45,0.9717142857142858
6.46,0.9717142857142858
6.44,0.9717142857142858
6.55,0.9717142857142858
6.56,0.9717142857142858
6.54,0.9717142857142858
6.6000000000000005,0.9717142857142858
6.61,0.9717142857142858
6.590000000000001,0.9717142857142858
6.63,0.9688571428571429
6.64,0.9688571428571429
6.62,0.9717142857142858
6.640000000000001,0.9688571428571429
6.65,0.9688571428571429
6.640000000000001,0.9688571428571429
