,Baseline,IC
Accuracy,0.6902857142857143,0.8411428571428572
Balanced Accuracy,0.6902857142857143,0.8411428571428571
Macro Precision,0.7904868425176205,0.843136470767987
Macro Recall,0.6902857142857143,0.8411428571428571
Macro F1,0.6834153677674154,0.8414127890720098
Recall_Aspen,0.282,0.87
Recall_Cottonwood_Willow,0.562,0.902
Recall_Douglas_fir,0.522,0.828
Recall_Krummholz,0.84,0.948
Recall_Lodgepole_Pine,0.908,0.8
Recall_Ponderosa_Pine,0.886,0.718
Recall_Spruce_Fir,0.832,0.822
