,Baseline,IC
Accuracy,0.6971428571428572,0.8268571428571428
Balanced Accuracy,0.6971428571428572,0.8268571428571428
Macro Precision,0.798099846592268,0.833053004862294
Macro Recall,0.6971428571428572,0.8268571428571428
Macro F1,0.6915649100104468,0.8225415127209403
Recall_Aspen,0.31,0.928
Recall_Cottonwood_Willow,0.554,0.976
Recall_Douglas_fir,0.514,0.784
Recall_Krummholz,0.856,0.978
Recall_Lodgepole_Pine,0.908,0.706
Recall_Ponderosa_Pine,0.902,0.58
Recall_Spruce_Fir,0.836,0.836
