epoch,train_loss,train_acc,val_loss,val_acc
1,0.7854179222982491,0.7038327645051194,1.3202680298941476,0.4462857142857143
2,0.5982563763624978,0.751358361774744,1.1740903247424535,0.49314285714285716
3,0.5558078789841193,0.7667815699658703,1.0918885850906372,0.5128571428571429
4,0.5319077056349341,0.7760341296928328,1.0524984933308192,0.5197142857142857
5,0.5144899605516687,0.7845187713310581,0.9850712654590607,0.552
6,0.5005365502183348,0.7891058020477816,0.9120566753319331,0.5697142857142857
7,0.4871244993486502,0.795122866894198,0.9050360968112946,0.5991428571428571
8,0.47650645174996437,0.800382252559727,0.898656576360975,0.6037142857142858
9,0.47054214167350794,0.8028293515358361,0.8650412338120597,0.5717142857142857
10,0.45912402864527785,0.8083378839590444,0.9165546249321529,0.5785714285714286
11,0.4533886397934611,0.8110477815699658,0.7922854526042938,0.6254285714285714
12,0.4471084689491845,0.8136621160409556,0.7836442692279816,0.6268571428571429
13,0.4409509912944898,0.8153276450511946,0.7674387165818896,0.6594285714285715
14,0.434535314144128,0.8186552901023891,0.7604856638567788,0.6702857142857143
15,0.43093692141913714,0.8209351535836178,0.7469611542224884,0.6748571428571428
16,0.42487041574696227,0.8236211604095564,0.7114449392727443,0.6957142857142857
17,0.42046810941159113,0.8251535836177475,0.7238709830215999,0.6968571428571428
18,0.41750946885977996,0.827358361774744,0.7394931995187487,0.6802857142857143
19,0.4141407181630769,0.828259385665529,0.7309184475626265,0.6931428571428572
20,0.4109013311675791,0.8298907849829351,0.7552940581866673,0.6545714285714286
